name, cost, rps, owned, multiplier, description variable,image
pickaxe, 15, 0.1, 0, 1, f"A sturdy pickaxe that can mine rocks way faster! \nIncreases RPS by 0.1.", GUI/New Piskel-3.png.png
alien, 100, 1, 0, 1, f"A friendly alien that helps you mine rocks! \nIncreases RPS by 1.", GUI/New Piskel-2.png.png
grinder, 1100, 8, 0, 1, f"A powerful grinder that can crush rocks into dust for easier processing! \nIncreases RPS by 8.", GUI/New Piskel-2.png (1).png
quarry, 12000, 47, 0, 1, f"A large quarry that can extract rocks from deep in the asteroid's ground! \nIncreases RPS by 47.", GUI/New Piskel-3.png (1).png
rock factory, 130000, 260, 0, 1, f"A factory that can mass-produce rocks for you! \nIncreases RPS by 260.", GUI/New Piskel-4.png.png
asteroid portal, 1400000, 1400, 0, 1, f"A portal that allows you to access asteroids in other parts of the universe! \nIncreases RPS by 14K.", GUI/New Piskel-5.png.png
time machine, 20000000, 7800, 0, 1, f"Takes you back in time to mine more rocks from the past and future! \nIncreases RPS by 7800.", GUI/New Piskel-6.png.png
quantum drill, 330000000, 44000, 0, 1, f"A drill that uses quantum mechanics to mine rocks at an incredible speed and be in multiple places at once! \nIncreases RPS by 44K.", GUI/New Piskel-2.png-7.png.png
alien planet, 1400000000, 100000, 0 , 1, f"A planet inhabited by friendly aliens who help you mine alien minerals! \nIncreases RPS by 100K.", GUI/New Piskel-2.png-8.png.png
dyson sphere, 5100000000, 260000, 0, 1, f"A megastructure that surrounds a star and captures its energy to mine rocks! \nIncreases RPS by 260K.", GUI/New Piskel-2.png-8.png-3.png.png
galaxy cluster, 75000000000, 16000000, 0, 1, f"Your Galaxy Cluster will now produce more cosmic dust! \nIncreases RPS by 16M.", GUI/New Piskel-2.png-8.png-1.png.png
multiverse, 1400000000000000000000000000, 1000000000000, 0, 1, f"Your Multiverse will now produce more multiversal energy! \nIncreases RPS by 1 Trillion.", GUI/New Piskel-2.png-8.png-2.png.png
